Context_post_signaller,unique_communications,percentage
Resting,246,16.82626538987688
Grooming,224,15.321477428180575
Playing,197,13.474692202462379
Traveling,151,10.328317373461013
Affiliating,136,9.30232558139535
Other,115,7.865937072503421
Carrying,96,6.566347469220246
Sexual interaction,89,6.087551299589603
Feeding,71,4.856361149110807
Nursing,68,4.651162790697675
Unknown,51,3.488372093023256
Agonistic interaction,18,1.231190150478796
