Context_post_signaller,Communication_number
Playing,200457a
Playing,200360
Resting,200071
Other,200393a
Nursing,200195a
Playing,200890
Traveling,200128
Agonistic interaction,200291
Other,200456
Other,200135a
Playing,200144
Sexual interaction,201008a
Sexual interaction,200287a
Traveling,202398
Affiliating,200293
Other,200621
Feeding,200289
Grooming,200048
Affiliating,200079
Traveling,200078
Grooming,200049
Unknown,200189
Agonistic interaction,200608
Sexual interaction,200292
Other,200455
Other,200333
Agonistic interaction,200385a
Playing,201501
Resting,200334
Traveling,200158
Carrying,200345
Playing,200354a
Nursing,200551
Playing,200133
Playing,201496a
Resting,200461a
Resting,200368a
Other,200062
Other,200454
Traveling,200908
Resting,200901
Resting,202401
Other,200511a
Other,200906a
Grooming,200475a
Unknown,200704
Grooming,200378
Unknown,200151a
Other,200138
Affiliating,200053a
Playing,200497a
Resting,200372a
Playing,201499
Playing,200139a
Other,200460
Playing,200066
Playing,200160
Other,200373a
Resting,200611
Feeding,200052a
Sexual interaction,200477
Playing,200076
Playing,200369
Resting,200161a
Other,200337
Resting,202395
Carrying,200188
Playing,200146a
Grooming,200476
Unknown,200552a
Sexual interaction,200363a
Unknown,200081
Playing,202408a
Nursing,200068a
Resting,200474
Playing,200500
Resting,200075
Traveling,200514
Nursing,200193a
Playing,200897
Affiliating,200021a
Playing,200064
Playing,200074
Carrying,200288
Traveling,200418
Traveling,202112
Nursing,200615
Resting,200153a
Playing,200344
Other,200367
Sexual interaction,200701
Nursing,200070
Sexual interaction,200022a
Unknown,200073
Resting,200044a
Feeding,200492a
Playing,202407a
Other,200150a
Playing,200371
Sexual interaction,200365
Resting,200298
Unknown,200299
Playing,200702
Grooming,200370
Other,200348
Grooming,200157
Traveling,200072
Playing,200705
Traveling,200553
Affiliating,200541
Playing,201492a
Traveling,200496
Resting,200285
Playing,200353
Playing,200343
Sexual interaction,200375
Nursing,200029
Agonistic interaction,200540
Resting,200145a
Other,200156
Nursing,200190a
Resting,200377
Playing,201497
Other,200542
Agonistic interaction,200136
Feeding,200198
Other,200362a
Resting,200023a
Playing,201491
Resting,200152a
Other,200057
Nursing,200191
Traveling,200137
Resting,200058a
Playing,201026
Traveling,200059
Resting,200155
Playing,200060a
Other,200894a
Grooming,200376a
Other,200479
Affiliating,200324
Resting,200394a
Unknown,200382a
Grooming,200054
Traveling,200605
Grooming,200050
Traveling,200364
Sexual interaction,201009
Sexual interaction,200140a
Feeding,200410
Affiliating,200352a
Other,200336
Feeding,200347
Playing,200609a
Resting,202330
Grooming,200485
Unknown,200808
Sexual interaction,200606
Nursing,200626a
Affiliating,200077
Sexual interaction,200397
Unknown,200024a
Nursing,200699
Playing,200067
Affiliating,200893
Nursing,200197
Unknown,200342
Resting,200465
Affiliating,200148
Affiliating,200046a
Unknown,200625
Resting,200154a
Traveling,200297
Playing,201484a
Sexual interaction,200290a
Nursing,200027
Other,200900a
Sexual interaction,200296
Other,201500a
Playing,200149
Nursing,200196
Nursing,200892
Nursing,200550
Resting,200886
Nursing,200194
Playing,200466
Playing,200341
Resting,200535
Other,200483
Resting,200387
Feeding,200548
Nursing,200904
Feeding,201483a
Playing,200470a
Resting,200453a
Nursing,200603
Other,200338
Grooming,200489
Feeding,200549
Agonistic interaction,200386
Resting,200056a
Resting,200534
Affiliating,200340
Agonistic interaction,200377a
Affiliating,200055
Nursing,200887
Playing,200089
Playing,200628
Feeding,200283
Grooming,200801
Playing,200631a
Carrying,200086
Playing,200448
Playing,200449
Sexual interaction,200708
Carrying,200040
Carrying,200090a
Grooming,201495
Other,200627
Playing,200275a
Playing,200278a
Playing,200629
Nursing,200282
Traveling,200186
Carrying,200041
Affiliating,200036a
Traveling,200084
Resting,200276a
Playing,200446a
Traveling,200039
Carrying,200037
Resting,200450
Feeding,200082
Resting,200281
Playing,200445
Traveling,200636
Affiliating,200187a
Playing,200447
Feeding,200273
Resting,200192
Agonistic interaction,201560
Unknown,201734
Affiliating,201735
Nursing,202365a
Carrying,201612
Other,201831
Carrying,201531
Resting,201503
Nursing,201634
Affiliating,200687
Unknown,201912
Resting,201737
Resting,201639a
Resting,201736
Sexual interaction,201695a
Grooming,202368a
Resting,201913
Grooming,200975
Sexual interaction,201549
Nursing,201281
Carrying,201626
Nursing,201716
Resting,201722
Carrying,201917
Other,202392
Grooming,201732
Grooming,201726
Grooming,201727
Affiliating,201733
Affiliating,201637
Resting,201507a
Grooming,201723
Carrying,201691
Playing,201744
Grooming,201799
Resting,202373a
Grooming,201638
Grooming,201700
Other,201600
Affiliating,201914
Grooming,201559
Resting,201524
Resting,202391
Grooming,200927
Carrying,201606a
Grooming,201730
Grooming,201724
Resting,202390
Resting,201915
Resting,201506
Traveling,201520
Nursing,201839a
Nursing,201743
Nursing,201755
Grooming,201632
Resting,201020
Other,202370
Grooming,201770
Sexual interaction,201696
Resting,202528
Feeding,202529
Affiliating,200399a
Traveling,200964
Traveling,200673
Sexual interaction,201609
Other,202371
Nursing,201742
Affiliating,201306
Nursing,200978
Sexual interaction,201840a
Grooming,201631
Traveling,201909
Carrying,201916a
Affiliating,202367
Grooming,201756
Nursing,201628a
Resting,201749a
Feeding,201646
Nursing,200931a
Carrying,201530
Carrying,200925
Sexual interaction,201692a
Grooming,201757
Carrying,201908
Carrying,201827
Grooming,201630
Traveling,201566a
Resting,202375a
Grooming,202376
Nursing,200963
Grooming,202389
Playing,200969
Affiliating,201568a
Grooming,201762
Other,200933a
Carrying,201605
Affiliating,200942a
Nursing,200976
Playing,201642
Grooming,201721
Traveling,201522
Other,201694
Grooming,200968
Grooming,202377
Nursing,201565
Affiliating,200926
Grooming,201556
Resting,201561a
Unknown,200966a
Affiliating,201610a
Resting,201830a
Traveling,200965
Affiliating,201798
Feeding,201640
Feeding,201741
Feeding,201641
Carrying,201816
Other,201607
Grooming,201750
Resting,202374
Traveling,201835
Grooming,201709
Playing,201527a
Resting,202379
Resting,201636
Grooming,200972
Resting,202386
Traveling,201693
Unknown,200977
Carrying,201553
Grooming,201702
Affiliating,201826
Resting,201907
Affiliating,202387
Grooming,200967
Playing,201526
Resting,202378
Carrying,200940a
Affiliating,202385
Grooming,200971
Grooming,201715
Sexual interaction,201547a
Carrying,200938
Traveling,202413
Nursing,201753
Carrying,201608
Other,202384
Playing,201523a
Traveling,201911
Resting,200935
Unknown,201633
Grooming,202380
Resting,200974
Grooming,201713
Playing,201794
Resting,200928
Grooming,201712
Grooming,201697
Other,201598
Resting,201796
Playing,201502
Grooming,201759
Grooming,202383
Feeding,201647
Grooming,201754
Unknown,202414
Resting,201532
Unknown,201740
Resting,202382
Nursing,201758
Grooming,201795
Affiliating,201611
Playing,200690a
Affiliating,201265
Carrying,201714
Grooming,201643
Affiliating,201918
Other,202366a
Resting,201711
Grooming,201729
Grooming,201728
Nursing,200962
Traveling,201573
Grooming,201563
Traveling,201906
Sexual interaction,201010a
Carrying,200923
Nursing,201264
Feeding,201748a
Traveling,201551
Sexual interaction,201825
Other,201595
Affiliating,201746
Other,201599
Other,201627
Grooming,201747
Resting,201515
Other,201557
Traveling,201635
Carrying,200939
Unknown,200930a
Traveling,201521
Affiliating,201550
Unknown,201905
Feeding,200961
Resting,201838a
Other,201570
Playing,202359
Carrying,201719
Grooming,201717
Sexual interaction,201824a
Sexual interaction,201828
Playing,201800
Feeding,201554
Traveling,201738
Carrying,200936a
Carrying,201555
Playing,201801
Sexual interaction,201829
Playing,201752
Carrying,201718
Other,201519
Other,200988
Grooming,201806
Grooming,201807
Agonistic interaction,201810
Unknown,200991
Grooming,201809
Traveling,201012a
Grooming,201808
Grooming,201804
Resting,201874a
Carrying,201664
Traveling,201673
Grooming,201891
Grooming,201613
Traveling,201665
Sexual interaction,202331a
Resting,201585
Grooming,201868
Affiliating,201541
Playing,201772
Grooming,202355
Resting,201592
Affiliating,201779
Playing,201537
Playing,201849
Agonistic interaction,201671
Traveling,201644a
Affiliating,201601a
Resting,202354
Traveling,201666
Traveling,201624
Grooming,201869
Traveling,201672a
Grooming,202350
Affiliating,201545
Grooming,200956
Other,201674
Resting,201675
Grooming,201855
Resting,202351
Grooming,201657
Traveling,201680a
Other,201542a
Grooming,201021
Other,201792a
Grooming,201014
Grooming,202353
Other,201618
Other,200949a
Resting,201653
Carrying,201661a
Grooming,202352
Grooming,200957a
Other,200984
Playing,201845
Affiliating,201622
Sexual interaction,202333
Playing,201790
Traveling,201655
Traveling,200981
Traveling,200980
Playing,201654
Playing,201791
Nursing,200945
Grooming,202358
Resting,201871
Affiliating,202349a
Feeding,201774
Traveling,201589
Playing,201846
Resting,201873
Resting,201540
Nursing,200947
Playing,201761a
Traveling,200982
Nursing,200946
Playing,201766
Resting,201872
Affiliating,201013
Sexual interaction,202337a
Playing,202341
Traveling,201650
Affiliating,201018
Traveling,201668
Sexual interaction,202335
Feeding,201670a
Agonistic interaction,202346
Grooming,201811
Grooming,202348a
Grooming,201813
Grooming,201019a
Resting,201016
Agonistic interaction,201581
Grooming,200566
Playing,201768a
Traveling,201877
Traveling,201876
Grooming,201886
Unknown,201897a
Grooming,201812
Other,201629a
Resting,201660
Grooming,201617
Affiliating,201602
Playing,201682
Grooming,201819
Feeding,201582
Grooming,201864a
Traveling,201576a
Grooming,202339
Other,201875
Nursing,202338
Traveling,201781a
Playing,201022
Grooming,201024
Grooming,201820
Resting,201603
Grooming,200985
Resting,201885
Affiliating,202356
Playing,201677
Resting,202357
Traveling,201590
Affiliating,201861
Sexual interaction,202334a
Playing,201535
Resting,201616a
Resting,201898
Feeding,200983
Feeding,201620a
Other,201667
Agonistic interaction,200948
Playing,201769a
Other,201789
Resting,201784a
Sexual interaction,201011
Grooming,201862
Grooming,201015
Traveling,201788
Grooming,201782
Traveling,201658
Grooming,201863
Sexual interaction,201023a
Resting,201765
Resting,201764a
Other,200954
Grooming,201663
Traveling,201619
Affiliating,202345a
Carrying,201785
Feeding,200955
Feeding,201669
Affiliating,201771a
Feeding,201534
Playing,201852a
Traveling,201578
Grooming,200987
Resting,201017a
Playing,201775
Grooming,201623
Playing,201850
Affiliating,201621a
